token_a,token_b,similarity_before,similarity_after,change
:,3,-0.1159423727601427,0.058819764691942215,0.1747621374520849
:,(#,0.0516674736009251,0.10087126038547596,0.04920378678455086
:,with,-0.1563208587112597,0.048607039914425984,0.20492789862568567
:,(),0.01914041206471458,0.11722307834226077,0.0980826662775462
the,#,-0.02805796919649573,0.23784264874859032,0.26590061794508607
the,/,-0.0221403074082379,0.034510150660929856,0.056650458069167756
the,0,0.14421952434010424,0.23414421490485268,0.08992469056474844
the,1,-0.07557806476628631,0.06769072401029183,0.14326878877657814
the,[,0.025129796560824254,0.13757015979315826,0.112440363232334
the,""",",-0.09936761525545273,0.042967713951729096,0.14233532920718184
the,""":",-0.015106616561693513,0.11285443448327273,0.12796105104496625
the,in,-0.17238265817471105,0.11154604940348399,0.28392870757819505
the,to,0.07331798633173767,0.37967444815574825,0.30635646182401055
the,of,0.15567095499608002,0.5136823315052111,0.3580113765091311
